t=2025-12-05T05:47:55+0530 lvl=info msg="no configuration paths supplied"
t=2025-12-05T05:47:55+0530 lvl=warn msg="ngrok config file found at legacy location, move to XDG location" xdg_path="/Users/shivansh/Library/Application Support/ngrok/ngrok.yml" legacy_path=/Users/shivansh/.ngrok2/ngrok.yml
t=2025-12-05T05:47:55+0530 lvl=info msg="using configuration at default config path" path=/Users/shivansh/.ngrok2/ngrok.yml
t=2025-12-05T05:47:55+0530 lvl=info msg="open config file" path=/Users/shivansh/.ngrok2/ngrok.yml err=nil
t=2025-12-05T05:47:55+0530 lvl=info msg="FIPS 140 mode" enabled=false
t=2025-12-05T05:47:55+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2025-12-05T06:22:12+0530 lvl=info msg="join connections" obj=join id=e6b78b967933 l=127.0.0.1:3000 r=49.43.162.118:59934
t=2025-12-05T06:22:13+0530 lvl=info msg="join connections" obj=join id=e9186eda3358 l=127.0.0.1:3000 r=49.43.162.118:59934
t=2025-12-05T06:22:38+0530 lvl=info msg="join connections" obj=join id=b9277c33197a l=127.0.0.1:3000 r=49.43.162.118:59934
t=2025-12-05T06:22:45+0530 lvl=info msg="join connections" obj=join id=a1e0e2448e71 l=127.0.0.1:3000 r=49.43.162.118:59934
t=2025-12-05T06:22:45+0530 lvl=info msg="join connections" obj=join id=5493e611b969 l=127.0.0.1:3000 r=49.43.162.118:59934
t=2025-12-05T06:24:20+0530 lvl=info msg="join connections" obj=join id=82c64fe54c6c l=127.0.0.1:3000 r=49.43.162.118:47716
t=2025-12-05T06:24:21+0530 lvl=info msg="join connections" obj=join id=26af6ba91aba l=127.0.0.1:3000 r=49.43.162.118:47716
t=2025-12-05T06:24:21+0530 lvl=info msg="join connections" obj=join id=ea9fb9c3ff5c l=127.0.0.1:3000 r=49.43.162.118:47716
t=2025-12-05T06:25:55+0530 lvl=info msg="join connections" obj=join id=dec6b307f981 l=127.0.0.1:3000 r=49.43.162.118:33288
t=2025-12-05T06:25:56+0530 lvl=info msg="join connections" obj=join id=83e3b065d554 l=127.0.0.1:3000 r=49.43.162.118:33288
t=2025-12-05T06:25:56+0530 lvl=info msg="join connections" obj=join id=515a476d319f l=127.0.0.1:3000 r=49.43.162.118:33288
t=2025-12-05T06:26:18+0530 lvl=info msg="join connections" obj=join id=00825c26406d l=127.0.0.1:3000 r=49.43.162.118:33288
t=2025-12-05T06:26:21+0530 lvl=info msg="join connections" obj=join id=14c255244e62 l=127.0.0.1:3000 r=49.43.162.118:33288
t=2025-12-05T06:26:22+0530 lvl=info msg="join connections" obj=join id=657e39eacf4e l=127.0.0.1:3000 r=49.43.162.118:33288
t=2025-12-05T06:26:22+0530 lvl=info msg="join connections" obj=join id=848f09513bd8 l=127.0.0.1:3000 r=49.43.162.118:33288
t=2025-12-05T06:26:23+0530 lvl=info msg="join connections" obj=join id=bc2f5ee41650 l=127.0.0.1:3000 r=49.43.162.118:33288
t=2025-12-05T06:26:39+0530 lvl=info msg="join connections" obj=join id=e50ecdb2611c l=127.0.0.1:3000 r=49.43.162.118:33288
t=2025-12-05T06:26:46+0530 lvl=info msg="join connections" obj=join id=92c1c0103fd2 l=127.0.0.1:3000 r=49.43.162.118:33288
t=2025-12-05T06:26:47+0530 lvl=info msg="join connections" obj=join id=8af9a61fc259 l=127.0.0.1:3000 r=49.43.162.118:33288
t=2025-12-05T06:26:47+0530 lvl=info msg="join connections" obj=join id=d2a973fbcb4b l=127.0.0.1:3000 r=49.43.162.118:33288
t=2025-12-05T06:26:47+0530 lvl=info msg="join connections" obj=join id=74967b3d4736 l=127.0.0.1:3000 r=49.43.162.118:33288
t=2025-12-05T06:26:48+0530 lvl=info msg="join connections" obj=join id=e61fca2086f4 l=127.0.0.1:3000 r=49.43.162.118:33288
t=2025-12-05T06:26:59+0530 lvl=info msg="join connections" obj=join id=d5abec4e0004 l=127.0.0.1:3000 r=49.43.162.118:33288
t=2025-12-05T06:27:00+0530 lvl=info msg="join connections" obj=join id=6391e15cc68c l=127.0.0.1:3000 r=49.43.162.118:33288
t=2025-12-05T06:27:00+0530 lvl=info msg="join connections" obj=join id=696e33795265 l=127.0.0.1:3000 r=49.43.162.118:33288
t=2025-12-05T06:27:00+0530 lvl=info msg="join connections" obj=join id=32f5ff25f107 l=127.0.0.1:3000 r=49.43.162.118:33288
t=2025-12-05T06:27:23+0530 lvl=info msg="join connections" obj=join id=82c63c98a94f l=127.0.0.1:3000 r=49.43.162.118:33288
t=2025-12-05T06:27:39+0530 lvl=info msg="join connections" obj=join id=0811eb92ce8b l=127.0.0.1:3000 r=49.43.162.118:33288
t=2025-12-05T06:27:42+0530 lvl=info msg="join connections" obj=join id=67d0be3c1851 l=127.0.0.1:3000 r=49.43.162.118:33288
t=2025-12-05T06:27:43+0530 lvl=info msg="join connections" obj=join id=9e28a38d8bb3 l=127.0.0.1:3000 r=49.43.162.118:33288
t=2025-12-05T06:27:43+0530 lvl=info msg="join connections" obj=join id=eb5c9a9661f3 l=127.0.0.1:3000 r=49.43.162.118:33288
t=2025-12-05T06:27:44+0530 lvl=info msg="join connections" obj=join id=f48302bd3816 l=127.0.0.1:3000 r=49.43.162.118:33288
t=2025-12-05T06:27:55+0530 lvl=info msg="join connections" obj=join id=c8f4d1e0b6d1 l=127.0.0.1:3000 r=49.43.162.118:33288
t=2025-12-05T06:27:55+0530 lvl=info msg="join connections" obj=join id=a10c50dcaeee l=127.0.0.1:3000 r=49.43.162.118:33288
t=2025-12-05T06:27:55+0530 lvl=info msg="join connections" obj=join id=7cb1366ea6bb l=127.0.0.1:3000 r=49.43.162.118:33288
t=2025-12-05T06:27:56+0530 lvl=info msg="join connections" obj=join id=c68a94491156 l=127.0.0.1:3000 r=49.43.162.118:33288
t=2025-12-05T06:28:05+0530 lvl=info msg="join connections" obj=join id=8cb5d293d7eb l=127.0.0.1:3000 r=49.43.162.118:33288
t=2025-12-05T06:28:06+0530 lvl=info msg="join connections" obj=join id=48634904ba78 l=127.0.0.1:3000 r=49.43.162.118:33288
t=2025-12-05T06:28:06+0530 lvl=info msg="join connections" obj=join id=d60f532d6432 l=127.0.0.1:3000 r=49.43.162.118:33288
t=2025-12-05T06:28:06+0530 lvl=info msg="join connections" obj=join id=7b51cdaa4349 l=127.0.0.1:3000 r=49.43.162.118:33288
t=2025-12-05T06:28:06+0530 lvl=info msg="join connections" obj=join id=e4bd540612ba l=127.0.0.1:3000 r=49.43.162.118:33288
t=2025-12-05T06:28:19+0530 lvl=info msg="join connections" obj=join id=5d0d2e2b6d9d l=127.0.0.1:3000 r=49.43.162.118:33288
t=2025-12-05T06:28:19+0530 lvl=info msg="join connections" obj=join id=27ae61775485 l=127.0.0.1:3000 r=172.71.198.142:27662
t=2025-12-05T06:28:19+0530 lvl=info msg="join connections" obj=join id=e5f2fab0a5ae l=127.0.0.1:3000 r=172.69.178.224:57186
t=2025-12-05T06:28:27+0530 lvl=info msg="join connections" obj=join id=aff374683f35 l=127.0.0.1:3000 r=49.43.162.118:33288
t=2025-12-05T06:28:28+0530 lvl=info msg="join connections" obj=join id=1586973d06ae l=127.0.0.1:3000 r=49.43.162.118:33288
t=2025-12-05T06:28:28+0530 lvl=info msg="join connections" obj=join id=409e38c75641 l=127.0.0.1:3000 r=49.43.162.118:33288
t=2025-12-05T06:28:28+0530 lvl=info msg="join connections" obj=join id=a3ff5b5dcb28 l=127.0.0.1:3000 r=49.43.162.118:33288
t=2025-12-05T06:28:28+0530 lvl=info msg="join connections" obj=join id=2412af774ddb l=127.0.0.1:3000 r=49.43.162.118:33288
t=2025-12-05T06:28:35+0530 lvl=info msg="join connections" obj=join id=b7abac49cdf5 l=127.0.0.1:3000 r=49.43.162.118:33288
t=2025-12-05T06:28:35+0530 lvl=info msg="join connections" obj=join id=79aeaf578791 l=127.0.0.1:3000 r=49.43.162.118:33288
t=2025-12-05T06:28:35+0530 lvl=info msg="join connections" obj=join id=01e2fed3611c l=127.0.0.1:3000 r=49.43.162.118:33288
t=2025-12-05T06:28:35+0530 lvl=info msg="join connections" obj=join id=107e9dcfeb45 l=127.0.0.1:3000 r=49.43.162.118:33288
t=2025-12-05T06:29:12+0530 lvl=info msg="join connections" obj=join id=004615a89ddb l=127.0.0.1:3000 r=49.43.162.118:33288
t=2025-12-05T06:29:15+0530 lvl=info msg="join connections" obj=join id=7f38b0df1553 l=127.0.0.1:3000 r=49.43.162.118:33288
t=2025-12-05T06:29:15+0530 lvl=info msg="join connections" obj=join id=c50be92157a6 l=127.0.0.1:3000 r=49.43.162.118:33288
t=2025-12-05T06:29:15+0530 lvl=info msg="join connections" obj=join id=6db42304a994 l=127.0.0.1:3000 r=49.43.162.118:33288
t=2025-12-05T06:29:15+0530 lvl=info msg="join connections" obj=join id=b5307d6001fb l=127.0.0.1:3000 r=49.43.162.118:33288
t=2025-12-05T06:30:29+0530 lvl=info msg="join connections" obj=join id=e2be58af5c82 l=127.0.0.1:3000 r=49.43.162.118:56963
t=2025-12-05T06:33:19+0530 lvl=info msg="join connections" obj=join id=653583fb9298 l=127.0.0.1:3000 r=49.43.162.118:45448
t=2025-12-05T06:33:19+0530 lvl=info msg="join connections" obj=join id=13710d1cd092 l=127.0.0.1:3000 r=49.43.162.118:45448
t=2025-12-05T06:33:21+0530 lvl=info msg="join connections" obj=join id=35b9c6c50937 l=127.0.0.1:3000 r=49.43.162.118:45448
t=2025-12-05T06:33:21+0530 lvl=info msg="join connections" obj=join id=7461cec8ac55 l=127.0.0.1:3000 r=49.43.162.118:45448
t=2025-12-05T06:33:21+0530 lvl=info msg="join connections" obj=join id=1c45b401aff9 l=127.0.0.1:3000 r=49.43.162.118:45448
t=2025-12-05T06:33:29+0530 lvl=info msg="join connections" obj=join id=be2d3a4abd13 l=127.0.0.1:3000 r=49.43.162.118:45448
